"Prediction","Ground Truth"
"18.93804931640625","17.5"
"18.1429443359375","20"
"20.789932250976562","22.5"
"20.871170043945312","25"
"27.503189086914062","25"
"29.982648849487305","27.5"
"18.905040740966797","25"
"24.441692352294922","25"
"26.47222137451172","27.5"
"28.16274642944336","32.5"
"32.92257308959961","37.5"
"33.57191848754883","40"
"33.09659194946289","42.5"
"36.096824645996094","37.5"
"37.331729888916016","40"
"38.128456115722656","42.5"
"45.31364440917969","45"
"48.90937805175781","45"
"46.06050491333008","45"
"39.89069366455078","45"
"46.33538818359375","45"
"40.26536178588867","45"
"38.06049728393555","45"
"46.592830657958984","42.5"
"36.49470138549805","42.5"
"38.73038864135742","45"
"46.07803726196289","45"
"49.35750198364258","42.5"
"48.62184143066406","45"
"46.35762405395508","45"
"35.94053268432617","45"
"31.62544822692871","40"
"27.126869201660156","35"
"20.224685668945312","35"
"32.58338928222656","40"
"25.12024688720703","35"
"27.419292449951172","35"
"27.852584838867188","32.5"
"21.974273681640625","37.5"
"22.495681762695312","40"
"20.101886749267578","40"
"28.627227783203125","37.5"
"29.44579315185547","40"
"27.98741912841797","40"
"25.211862564086914","42.5"
"27.369007110595703","42.5"
"25.472015380859375","42.5"
"24.905269622802734","40"
"29.766250610351562","42.5"
"30.647640228271484","42.5"
"26.774368286132812","40"
"25.694602966308594","37.5"
"26.21212387084961","35"
"22.778507232666016","35"
"19.76048469543457","32.5"
"25.086246490478516","35"
"22.860116958618164","35"
"20.255889892578125","32.5"
"13.071436882019043","27.5"
"6.897224426269531","22.5"
"3.0161736011505127","0"
"2.062882900238037","0"
"7.966747283935547","22.5"
"2.634890556335449","0"
"2.2019498348236084","0"
"1.897351861000061","0"
